category,profile,variable,variablename,dataset,year,is_most_recent,geotype,numGeoids,base,comparison_cv,comparison_m,comparison_percent,comparison_percent_m,comparison_sum,cv,m,difference_sum,difference_percent,difference_m,difference_percent_m,previous_sum,change_sum,change_percent,change_m,change_percent_m,change_percentage_point,change_percentage_point_m,change_significant,change_percent_significant,change_percentage_point_significant,notinprofile,percent,percent_m,previous_percent,percent_significant,producttype,release_year,significant,is_reliable,comparison_is_reliable,sum,unittype,special
yearOfEntry,social,fb4,Fb4,y2012_2016,,TRUE,,12,Fb4,0.2,12561,1,,3146112,0.493257631,8146.925739,-2142065,0,14971.67726,0,,,,8146.925739,,1,0,0,0,1,,1,0,,FALSE,,,TRUE,TRUE,TRUE,1004047,,FALSE
yearOfEntry,social,fb2000ltr,Fb2000Ltr,y2012_2016,,TRUE,,12,Fb4,0.5,9716,0.393,0.003,1235369,0.938416963,6065.644319,-842439,-0.17,11453.93806,0.595086269,,,,6065.644319,,0.3913,0.005139335,0,0,1,,0.3913,0.005139335,,FALSE,,,TRUE,TRUE,TRUE,392930,,FALSE
veteranStatus,social,cvvet18pl,CvVet18pl,y2012_2016,,TRUE,,12,CvPop18pl,1,2653,0.025,0.001,167591,1.838433737,1245.949838,-126392,0.01,2931.006653,0.124957631,55968,-14769,-0.2639,1957.615897,0.029832486,-0.0108,0.001209743,1,1,1,,0.0251,0.000749294,0.0359,FALSE,,,TRUE,TRUE,TRUE,41199,,FALSE
veteranStatus,social,cvpop18pl,CvPop18pl,y2012_2016,,TRUE,,12,CvPop18pl,0,365,1,,6665882,0.295485247,7977.501927,-5024668,0,7985.847607,0,1558782,82432,0.0529,11488.15973,0.007574268,0,0,1,1,0,,1,0,1,FALSE,,,TRUE,TRUE,TRUE,1641214,,FALSE
uSCitizenshipStatus,social,fbntlzd,FbNtlzd,y2012_2016,,TRUE,,12,Fb3,0.4,10877,0.543,0.003,1707897,0.652764985,5950.550479,-1153738,0.89,12398.3136,0.490595295,510349,43810,0.0858,8328.785866,0.017020034,0.0255,0.00538475,1,1,1,,0.5519,0.0038818,0.5264,FALSE,,,TRUE,TRUE,TRUE,554159,,FALSE
uSCitizenshipStatus,social,fbnotczn,FbNotCzn,y2012_2016,,TRUE,,12,Fb3,0.5,12309,0.457,0.003,1438215,0.882429309,6530.557174,-988327,-0.89,13934.11849,0.617143648,459216,-9328,-0.0203,9785.793734,0.021070798,-0.0255,0.008222798,0,0,1,,0.4481,0.005393202,0.4736,FALSE,,,TRUE,TRUE,TRUE,449888,,FALSE
uSCitizenshipStatus,social,fb3,Fb3,y2012_2016,,TRUE,,12,Fb3,0.2,12561,1,,3146112,0.493257631,8146.925739,-2142065,0,14971.67726,0,969565,34482,0.0356,11903.28236,0.012510919,0,0,0,0,0,,1,0,1,FALSE,,,TRUE,TRUE,TRUE,1004047,,FALSE
socialSpecialVariable,social,uwhusmpl1,UWHUSmpl1,y2012_2016,,TRUE,,12,calculations,,,,,237307,,,-175463,0,0,0,47045,14799,0.3146,0,0,0,0,1,1,0,,,,,FALSE,,,TRUE,FALSE,FALSE,61844,,FALSE
socialSpecialVariable,social,popinfms,PopInFms,y2012_2016,,TRUE,,12,AvgFmSz,,,,,6426979,,,-4773322,0,0,0,1596584,57073,0.0357,0,0,0,0,1,1,0,,,,,FALSE,,,TRUE,FALSE,FALSE,1653657,,FALSE
socialSpecialVariable,social,hhpop1,HHPop1,y2012_2016,,TRUE,,12,AvgHHSz,,,,,8285153,,,-6255422,0,0,0,1944112,85619,0.044,0,0,0,0,1,1,0,,,,,FALSE,,,TRUE,FALSE,FALSE,2029731,,FALSE
schoolEnrollment,social,se_nscpsc,SE_NScPSc,y2012_2016,,TRUE,,12,Pop3plEn,1.1,2472,0.066,0.001,138407,2.69706637,1278.693865,-109586,-0.63,2783.135282,0.275284245,27238,1583,0.0581,1785.245921,0.067424331,0.0028,0.003590665,0,0,0,,0.0597,0.002564789,0.0569,FALSE,,,TRUE,TRUE,TRUE,28821,,FALSE
schoolEnrollment,social,se_kndgtn,SE_Kndgtn,y2012_2016,,TRUE,,12,Pop3plEn,1.2,2086,0.052,0.001,109281,2.651245134,1060.493281,-84965,-0.16,2340.094443,0.234818927,21738,2578,0.1186,1508.552618,0.073674873,0.005,0.003040472,0,0,0,,0.0504,0.002124616,0.0454,FALSE,,,TRUE,TRUE,TRUE,24316,,FALSE
schoolEnrollment,social,se_g9t12,SE_G9t12,y2012_2016,,TRUE,,12,Pop3plEn,0.5,2995,0.192,0.001,398846,1.357130247,2025.037284,-308138,-0.4,3615.356276,0.376933164,102261,-11553,-0.113,3170.783342,0.028983741,-0.0255,0.00572836,1,1,1,,0.188,0.003634262,0.2135,FALSE,,,TRUE,TRUE,TRUE,90708,,FALSE
schoolEnrollment,social,se_g1t8,SE_G1t8,y2012_2016,,TRUE,,12,Pop3plEn,0.2,2503,0.368,0.002,765539,1.071048521,3093.376472,-589966,-0.41,3979.194265,0.534736433,170780,4793,0.0281,4453.478865,0.02645858,0.0074,0.00718672,0,0,0,,0.3639,0.004959265,0.3565,FALSE,,,TRUE,TRUE,TRUE,175573,,FALSE
schoolEnrollment,social,se_clggsc,SE_ClgGSc,y2012_2016,,TRUE,,12,Pop3plEn,0.5,5261,0.322,0.002,670044,1.054728251,2829.709172,-506951,1.6,5973.723713,0.491422217,156980,6113,0.0389,4240.081603,0.027598635,0.0103,0.006976209,0,0,0,,0.338,0.004488828,0.3277,TRUE,,,TRUE,TRUE,TRUE,163093,,FALSE
schoolEnrollment,social,pop3plen,Pop3plEn,y2012_2016,,TRUE,,12,Pop3plEn,0.2,6337,1,,2082117,0.678753474,5387.473991,-1599606,0,8317.598512,0,478997,3514,0.0073,7806.473019,0.016360266,0,0,0,0,0,,1,0,1,FALSE,,,TRUE,TRUE,TRUE,482511,,FALSE
residence1YearAgo,social,smhs,SmHs,y2012_2016,,TRUE,,12,Pop1pl,0.1,8793,0.896,0.001,7487266,0.345956911,10506.49737,-5641103,1.42,13700.48671,0.258408043,1726931,119232,0.069,15023.42581,0.009011376,0.019,0.003521575,1,1,1,,0.9102,0.002382745,0.8912,TRUE,,,TRUE,TRUE,TRUE,1846163,,FALSE
residence1YearAgo,social,pop1pl,Pop1pl,y2012_2016,,TRUE,,12,Pop1pl,0,2274,1,,8354926,0.307183414,10249.26822,-6326640,0,10498.50346,0,1937828,90458,0.0467,14780.26055,0.007814089,0,0,1,1,0,,1,0,1,FALSE,,,TRUE,TRUE,TRUE,2028286,,FALSE
residence1YearAgo,social,dhnonyc,DHnoNYC,y2012_2016,,TRUE,,12,DfHs2,1.3,3640,0.19,0.003,165017,3.100823143,1539.74381,-134831,-2.43,3952.266565,0.778057246,28974,1212,0.0418,2409.113737,0.085221917,0.0283,0.010724704,0,0,0,,0.1657,0.007178949,0.1374,TRUE,,,TRUE,TRUE,TRUE,30186,,FALSE
residence1YearAgo,social,dhdfcntnyc,DHDfCntNYC,y2012_2016,,TRUE,,12,DfHs2,2,3993,0.143,0.004,123698,3.831743437,1657.494193,-97402,0.14,4323.347777,0.914853464,26967,-671,-0.0249,2536.222585,0.09271567,0.0165,0.011776198,0,0,0,,0.1444,0.008227739,0.1279,FALSE,,,TRUE,TRUE,TRUE,26296,,FALSE
residence1YearAgo,social,dfhsus,DfHsUS,y2012_2016,,TRUE,,12,DfHs2,0.7,8580,0.889,0.015,771501,1.723926676,4494.383384,-613017,-1.88,9685.8599,1.686256897,187164,-28680,-0.1532,7026.42925,0.034259494,-0.0173,0.011974658,1,1,0,,0.8702,0.007703651,0.8875,FALSE,,,TRUE,TRUE,TRUE,158484,,FALSE
residence1YearAgo,social,dfhssmcnt,DfHsSmCnt,y2012_2016,,TRUE,,12,DfHs2,1,8024,0.556,0.006,482786,2.296705634,3853.717945,-380784,0.41,8901.444714,1.600195842,131223,-29221,-0.2227,6023.73771,0.040181843,-0.0621,0.020515675,1,1,0,,0.5601,0.01483451,0.6222,FALSE,,,TRUE,TRUE,TRUE,102002,,FALSE
residence1YearAgo,social,dfhsdfcnt,DfHsDfCnt,y2012_2016,,TRUE,,12,DfHs2,1,4895,0.333,0.004,288715,2.481073488,2305.237081,-232233,-2.29,5410.650885,1.031514674,55941,541,0.0097,3543.303684,0.063694013,0.0448,0.014216828,0,0,1,,0.3101,0.00950801,0.2653,FALSE,,,TRUE,TRUE,TRUE,56482,,FALSE
residence1YearAgo,social,dfhs2,DfHs2,y2012_2016,,TRUE,,12,DfHs2,0.8,11152,1,,867660,1.637775572,4906.650079,-685537,0,12183.6907,0,210897,-28774,-0.1364,7507.809268,0.032904707,0,0,1,1,0,,1,0,1,FALSE,,,TRUE,TRUE,TRUE,182123,,FALSE
residence1YearAgo,social,dfhs1,DfHs1,y2012_2016,,TRUE,,12,Pop1pl,0.8,11152,0.104,0.001,867660,1.637775572,4906.650079,-685537,-1.42,12183.6907,0.257802794,210897,-28774,-0.1364,7507.809268,0.032904707,-0.019,0.00372664,1,1,1,,0.0898,0.002376179,0.1088,TRUE,,,TRUE,TRUE,TRUE,182123,,FALSE
residence1YearAgo,social,abroad,Abroad,y2012_2016,,TRUE,,12,DfHs2,2.2,3427,0.111,0.004,96159,4.115880657,1600.507732,-72520,1.88,3782.321245,0.900008886,23733,-94,-0.004,2383.183795,0.100198314,0.0173,0.011220907,0,0,0,,0.1298,0.008062357,0.1125,FALSE,,,TRUE,TRUE,TRUE,23639,,FALSE
relationshipToHeadOfHouseholdHouseholder,social,rshp_ssup,Rshp_SSUP,y2012_2016,,TRUE,,12,HHPop,3,924,0.002,0,19003,7.705795627,265.6896686,-16907,-0.1,961.4400657,0.013079266,3036,-940,-0.3096,451.3291482,0.120588203,-0.0006,0.000228586,0,0,0,,0.001,0.000130793,0.0016,TRUE,,,TRUE,TRUE,TRUE,2096,,FALSE
relationshipToHeadOfHouseholdHouseholder,social,rshp_sp,Rshp_Sp,y2012_2016,,TRUE,,12,HHPop,0.4,7263,0.137,0.001,1131556,0.536512817,2764.60395,-818309,1.73,7771.370793,0.149462254,315053,-1806,-0.0057,4023.27056,0.012731553,-0.0078,0.00164669,0,0,1,,0.1543,0.001110809,0.1621,TRUE,,,TRUE,TRUE,TRUE,313247,,FALSE
relationshipToHeadOfHouseholdHouseholder,social,rshp_othr,Rshp_OthR,y2012_2016,,TRUE,,12,HHPop,0.7,10526,0.108,0.001,895758,1.228089162,5349.911308,-630938,2.25,11807.54958,0.273920761,240321,24499,0.1019,7439.703825,0.032519568,0.0069,0.00362207,1,1,0,,0.1305,0.002550149,0.1236,TRUE,,,TRUE,TRUE,TRUE,264820,,FALSE
relationshipToHeadOfHouseholdHouseholder,social,rshp_nrup,Rshp_NRUP,y2012_2016,,TRUE,,12,HHPop,1.1,3213,0.021,0.001,173939,2.056443456,1213.123654,-138078,-0.33,3434.390484,0.116149694,32551,3310,0.1017,1762.479787,0.05710876,0.001,0.000879329,0,0,0,,0.0177,0.000590826,0.0167,FALSE,,,TRUE,TRUE,TRUE,35861,,FALSE
relationshipToHeadOfHouseholdHouseholder,social,rshp_nr,Rshp_NR,y2012_2016,,TRUE,,12,HHPop,0.8,7751,0.072,0.001,599943,1.531268066,3607.796419,-456716,-0.14,8549.514372,0.200736852,122551,20676,0.1687,5146.688547,0.045737327,0.0076,0.002544713,1,1,0,,0.0706,0.001740554,0.063,FALSE,,,TRUE,TRUE,TRUE,143227,,FALSE
relationshipToHeadOfHouseholdHouseholder,social,rshphhldr,RshpHHldr,y2012_2016,,TRUE,,12,HHPop,0.1,6458,0.378,0.001,3128246,0.190075073,2186.24747,-2429035,-3.35,6818.023321,0.229254051,695903,3308,0.0048,3103.175954,0.004469896,-0.0135,0.003059119,0,0,1,,0.3445,0.002062945,0.358,TRUE,,,TRUE,TRUE,TRUE,699211,,FALSE
relationshipToHeadOfHouseholdHouseholder,social,rshp_ch,Rshp_Ch,y2012_2016,,TRUE,,12,HHPop,0.2,8228,0.305,0.001,2529650,0.584214039,5854.857385,-1920424,-0.48,10098.48201,0.26401794,570284,38942,0.0683,8438.530441,0.015329395,0.0069,0.003629944,1,1,0,,0.3002,0.00244347,0.2933,FALSE,,,TRUE,TRUE,TRUE,609226,,FALSE
relationshipToHeadOfHouseholdHouseholder,social,hhpop,HHPop,y2012_2016,,TRUE,,12,HHPop,0,2315,1,,8285153,0.310480821,10366.6674,-6255422,0,10622.00631,0,1944112,85619,0.044,14836.66617,0.00780541,0,0,1,1,0,,1,0,1,FALSE,,,TRUE,TRUE,TRUE,2029731,,FALSE
placeOfBirth,social,yemen,Yemen,y2012_2016,,TRUE,,12,Fb2,7.3,1350,0.004,0,11245,24.84521553,501.0708533,-10019,-0.28,1439.990278,0.049895283,1253,-27,-0.0215,654.1574734,0.517453391,-0.0001,0.00066102,0,0,0,,0.0012,0.000498953,0.0013,TRUE,,,TRUE,FALSE,TRUE,1226,,FALSE
placeOfBirth,social,windies,WIndies,y2012_2016,,TRUE,,12,Fb2,6.4,1011,0.003,0,9578,12.05879472,271.9613943,-8207,-0.16,1046.940304,0.027063851,2644,-1273,-0.4815,556.7755383,0.140208787,-0.0013,0.000568978,0,1,0,,0.0014,0.000270639,0.0027,TRUE,,,TRUE,TRUE,TRUE,1371,,FALSE
placeOfBirth,social,weur,WEur,y2012_2016,,TRUE,,12,Fb2,2.6,2210,0.016,0.001,51018,4.449603319,576.9306717,-43136,-0.81,2284.064141,0.115157015,10225,-2343,-0.2291,947.7051229,0.079978141,-0.0026,0.000958408,0,0,0,,0.0079,0.000571064,0.0105,TRUE,,,TRUE,TRUE,TRUE,7882,,FALSE
placeOfBirth,social,wasia,WAsia,y2012_2016,,TRUE,,12,Fb2,2,2439,0.024,0.001,75808,5.229479707,1222.414414,-61598,-0.98,2728.18951,0.157133312,14493,-283,-0.0195,1760.739617,0.120265971,-0.0007,0.001777497,0,0,0,,0.0142,0.001212059,0.0149,TRUE,,,TRUE,TRUE,TRUE,14210,,FALSE
placeOfBirth,social,wafr,WAfr,y2012_2016,,TRUE,,12,Fb2,2.1,2933,0.027,0.001,84493,7.001422562,1034.717836,-75509,-1.81,3110.16559,0.143413958,7465,1519,0.2035,1432.707926,0.211508398,0.0012,0.001447977,0,0,0,,0.0089,0.001027987,0.0077,TRUE,,,TRUE,TRUE,TRUE,8984,,FALSE
placeOfBirth,social,vnzuela,Vnzuela,y2012_2016,,TRUE,,12,Fb2,5.6,860,0.003,0,9296,8.969546661,447.8113442,-6261,0,969.6055899,0.044533145,3337,-302,-0.0905,751.848389,0.212374105,-0.0004,0.000765095,0,0,0,,0.003,0.000445331,0.0034,FALSE,,,TRUE,TRUE,TRUE,3035,,FALSE
placeOfBirth,social,vietnam,Vietnam,y2012_2016,,TRUE,,12,Fb2,5.5,1235,0.004,0,13760,8.643119925,624.7359442,-9366,0.04,1384.023121,0.062120375,4122,272,0.066,895.4674757,0.224713004,0.0001,0.000906784,0,0,0,,0.0044,0.000621204,0.0043,FALSE,,,TRUE,TRUE,TRUE,4394,,FALSE
placeOfBirth,social,uzbkstan,Uzbkstan,y2012_2016,,TRUE,,12,Fb2,3.5,1442,0.008,0,25336,7.005731494,1024.752165,-16444,0.09,1769.033917,0.101808883,8408,484,0.0576,1411.059885,0.172456479,0.0002,0.001425291,0,0,0,,0.0089,0.001018089,0.0087,FALSE,,,TRUE,TRUE,TRUE,8892,,FALSE
placeOfBirth,social,uruguay,Uruguay,y2012_2016,,TRUE,,12,Fb2,9.9,399,0.001,0,2449,16.14730541,281.8261876,-1388,0.01,488.4946264,0.028055924,1239,-178,-0.1437,455.4964325,0.33601762,-0.0002,0.000463464,0,0,0,,0.0011,0.000280559,0.0013,FALSE,,,FALSE,TRUE,TRUE,1061,,FALSE
placeOfBirth,social,untdkgdm,UntdKgdm,y2012_2016,,TRUE,,12,Fb2,3,1562,0.01,0,31194,5.828774235,412.3942289,-26893,-0.57,1615.522516,0.040925866,3850,451,0.1171,619.6837903,0.17171692,0.0003,0.000627543,0,0,0,,0.0043,0.000409259,0.004,TRUE,,,TRUE,TRUE,TRUE,4301,,FALSE
placeOfBirth,social,ukraine,Ukraine,y2012_2016,,TRUE,,12,Fb2,2.1,2247,0.02,0.001,63931,7.947098956,640.7066411,-59030,-1.51,2336.560292,0.118559425,4765,136,0.0285,913.83423,0.194582775,0,0.000924857,0,0,0,,0.0049,0.000636894,0.0049,TRUE,,,TRUE,TRUE,TRUE,4901,,FALSE
placeOfBirth,social,uknoengsc,UKnoEngSc,y2012_2016,,TRUE,,12,Fb2,4,1066,0.005,0,16351,9.113377071,246.1605167,-14709,-0.34,1094.052558,0.024480895,1423,219,0.1539,373.7632941,0.286250052,0.0001,0.000379351,0,0,0,,0.0016,0.000244809,0.0015,TRUE,,,TRUE,TRUE,TRUE,1642,,FALSE
placeOfBirth,social,turkey,Turkey,y2012_2016,,TRUE,,12,Fb2,6.4,1073,0.003,0,10190,11.50606034,601.1364238,-7014,0.02,1229.916257,0.059816302,3075,101,0.0328,839.5296302,0.277423684,0,0.000849905,0,0,0,,0.0032,0.000598163,0.0032,FALSE,,,TRUE,TRUE,TRUE,3176,,FALSE
placeOfBirth,social,trandtob,TrAndTob,y2012_2016,,TRUE,,12,Fb2,1.6,2131,0.027,0.001,83479,3.932395956,1208.628975,-64795,-0.84,2449.886732,0.155763701,17109,1575,0.0921,1821.604787,0.112062749,0.001,0.001837713,0,0,0,,0.0186,0.00119425,0.0176,TRUE,,,TRUE,TRUE,TRUE,18684,,FALSE
placeOfBirth,social,thailand,Thailand,y2012_2016,,TRUE,,12,Fb2,6.6,603,0.002,0,5542,9.921134662,496.2993049,-2501,0.1,780.9750316,0.049368758,2683,358,0.1334,747.0160641,0.299746655,0.0002,0.000758097,0,0,0,,0.003,0.000493688,0.0028,FALSE,,,TRUE,TRUE,TRUE,3041,,FALSE
